"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Pakistan","ADM - Labour legislation","Monthly minimum wage by currency","Currency: Local currency","2024",37000,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
"Pakistan","ADM - Labour legislation","Monthly minimum wage by currency","Currency: 2021 PPP $","2024",570.451,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
"Pakistan","ADM - Labour legislation","Monthly minimum wage by currency","Currency: U.S. dollars","2024",132.816,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
"Pakistan","ADM - Labour legislation","Monthly minimum wage by currency","Currency: Local currency","2023",32000,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
"Pakistan","ADM - Labour legislation","Monthly minimum wage by currency","Currency: 2021 PPP $","2023",539.766,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
"Pakistan","ADM - Labour legislation","Monthly minimum wage by currency","Currency: U.S. dollars","2023",114.14,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
"Pakistan","ADM - Labour legislation","Monthly minimum wage by currency","Currency: Local currency","2022",25000,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
"Pakistan","ADM - Labour legislation","Monthly minimum wage by currency","Currency: 2021 PPP $","2022",529.638,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
"Pakistan","ADM - Labour legislation","Monthly minimum wage by currency","Currency: U.S. dollars","2022",122.03,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
"Pakistan","ADM - Labour legislation","Monthly minimum wage by currency","Currency: Local currency","2021",19000,"Type of minimum wage: Occupational (unskilled workers) | Currency: PAK - Pakistani rupee (PKR)",
